part,amount,value,link,footprint
Capacitor,4,1uF,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923,0402
Capacitor,7,10uF,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702,0603
Capacitor,2,33pF,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562,0402
Resistor,2,5.1K,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905,0402
Resistor,2,1K,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702,0402
Resistor,1,10K,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744,0402
Resistor,2,33,,0402
Push Button,6,,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477,SW_Push_SPST_NO_Alps_SKRK
USB-C Input,1,,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948,USB_C_Receptacle_HRO_TYPE-C-31-M-12
MCU (RP2040),1,,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm
Flash Memory (W25Q16JVSS),1,16MB,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVSSIQ/C131025,SOIC-8_5.3x5.3mm_P1.27mm
LDO (MCP1700x-330xxTT),1,5.5V in / 3.3V out,https://jlcpcb.com/partdetail/MSKSEMI-MCP1700T_3302E_TT_MS/C20627188,SOT-23
Crystal,1,12MHz,https://jlcpcb.com/partdetail/NDK-NX3225GA_12MHZ_STD_CRG2/C481407,Crystal_SMD_3225-4Pin_3.2x2.5mm
OLED,1,0.96",https://jlcpcb.com/partdetail/HS-HS96L03W2C03/C5248080,Generic I2C Connector
PCM5102A,1,,https://jlcpcb.com/partdetail/TexasInstruments-PCM5102APW/C1520792,PCM5102A
Micro SD Card Reader,1,,https://jlcpcb.com/partdetail/MyAntenna-A_MicroTF_185A/C22467599,Micro_SD_Card_Det_Hirose_DM3AT
Headphone Jack,1,,https://jlcpcb.com/partdetail/Korean_HropartsElec-PJ_320B3A/C707224,PJ-320B
