Designator,Footprint,Quantity,Value,LCSC Part #
BOOT,SW_Push_SPST_NO_Alps_SKRK,1,BOOTSEL,
"C1, C2",0402,2,33pF,
"C10, C11, C12, C13, C15, C16, C20, C25, C29, C3, C6, C7, C8, C9",0402,14,0.1uF,
"C14, C17, C26, C27, C28",0402,5,1uF,
"C18, C19, C21, C22, C24, C4, C5",0402,7,10uF,
C23,0402,1,0.1unF,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det_Hirose_DM3AT,
J3,BOOMELE_PJ-320B,1,PJ-320B,
NEXT,SW_Push_SPST_NO_Alps_SKRK,1,next,
PLAY/PAUSE,SW_Push_SPST_NO_Alps_SKRK,1,play/pause,
PREVIOUS,SW_Push_SPST_NO_Alps_SKRK,1,previous,
"R1, R2",0402,2,1K,
"R10, R11, R12, R13, R14, R3",0402,6,10K,
"R15, R16",0402,2,27,
"R4, R5",0402,2,5.1K,
"R6, R7",0402,2,33,
"R8, R9",0402,2,4.7K,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q16JVSS,
U3,SOT-23,1,MCP1700x-330xxTT,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,PCM5102A,
U5,MODULE_DM-OLED096-636,1,DM-OLED096-636,
VOLUME+,SW_Push_SPST_NO_Alps_SKRK,1,volume+,
VOLUME-,SW_Push_SPST_NO_Alps_SKRK,1,volume-,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
